order_id,products
1376945,8309 14947
1416320,21903 24852
1735923,17008 35123
1980631,6184 22362 46061
3202221,9637 39275 45007
3222866,8501 15718 32912 33198 37131
707453,4942 16797 21137 24852 44142
882556,5450 24852 25890 30962 48679
2431024,5450 13176 24799 24852 34217
2827745,17924
2174416,36929
320326,24852 42828
1099519,22035 26351 28058
2817181,18828 19677
2883656,24852
1970262,4562 21903 24838
2681168,11777 27845
1345233,13176
139487,21386
1189294,13176
1368861,1940
36863,13176 27521
969538,13643
1058680,470 23665 30356 44570
831748,5782 40174
2710859,8518 47766
1500625,1674 26700
726111,16797 47766
2588536,33572
1658650,19057 24852 47766
36740,7393 13841 29805 35199
2675738,37543
3052059,9421
2943466,3957 5258 24852
1920100,2748 30391 47209
2769561,18434 22963 38383 42585
2029462,19348
569815,12218
2378064,49075
2986791,2966 13176 17526 47717
1239084,24852 30391 33527
3191854,40174
1132910,4138 27086 28204 38948 41290 47766
2088686,5479 27531
3358588,19348 22959
1283403,47209
2098786,29344
795256,18234 23288 30489
2399184,9122 18370 19819 21137 22993 24852
862070,17352 24852
313331,19660
3241020,21709
1653971,23909 44632
3048274,13712
1141566,4920
2969880,27966 42736
1579044,24852
346816,3873
158824,19660 44799 46844
939128,24852 46906
1242621,40236
61423,6184
1105633,28204
930307,2805 22677
2964001,14233
1971668,19660
1452849,5876 26209 44359 47209
2242945,29487 46969
465851,40910 45948
2770483,9018 27325
2481483,19660
2193705,6184 12341 21903 40742
1160743,13176
239545,13702 27086 35951 42450
887842,13176
1185710,9839 21137
1753574,21137 24184 47766
442242,7521 25718
3376600,24852 42265 46820
2557552,2809
2391680,21903
2196307,33754
1309059,21903 26209
2761369,13176 33572
1918388,14084 42585
3073553,24852
2185735,3957
1088553,27845
2247264,41549
2651333,28985 40174
1032696,37646 47626
3355968,13176
1945605,12576 16262 21709 27086 35221 44292 44632 47144
1098067,3585
2890507,8710
2519594,2748 13083 13176 14874 43643 45066 45504 47209
1493300,8277 24964
293692,34050
836275,24852
1956871,28204 36214
68117,9605 17341 21333
3387692,13176
1455788,28296 33852 41805
1324947,16797 27966
891657,12953 35921
1241495,21137 25837
606811,1940 36717
1901134,43209
1036348,47209
1803743,43631
2080645,1940 13176 19057
877079,9438 14233 23909 24852
1887969,24852
3100473,13083
2104476,24852 27845 30391 48679
203528,21137 47766
1094091,39527
764108,8047 20298 27522 42719 43693
1386850,21616 22959 24125 32134 32655 48988
728126,24852
1886032,4421 28985
630214,23909 44799 45622
1533834,24852 25108
2360269,2962 39581
2535468,12341
162228,13176
160588,34668
153911,20598
1530394,29370 39527
1788231,1194 6182 22959 24852 40198 46820
2866997,24852
1629029,9421
1158445,36522
39629,13176
2496659,24852
2676901,15134 34230
1078531,19057 22935
2278368,13176 37646 39190
695415,14947 44632
2904666,13176 21938 30391 30489 41950
178418,5785
1055153,28204 40174
1994195,21903 24852 28465 36011
1624388,8571 33000
3020209,13176
2688906,13176 24964
2563471,8859 21757 22340
141543,9175 45154
1797124,196 22802
89381,43631
1423050,24838 39276 43295
1249392,44632
420520,5782 24852
2754200,24852 31981
2558743,94 43295
1519990,24852 47766
1671355,21903 24852 39928 46676
2791256,19057 19348 21137 21903 24799
2520517,21292
1930805,13176
1502827,38453 49235
109911,24852 43961 47766
934581,5479 22935 26209 48034
2997340,1541 7156 22959 24852 30727 40136 47766
216270,17794 21137 22035 24024 29370 39928
1146075,32655
3168076,13176 39275
1199748,44570
2864780,21903
2101491,16363 24852
2308945,28985 34050
2065552,20019
2619795,432 24852
92308,49683
2869963,11520
2364225,4605 24852 36186
1409336,27845 47766
2985179,35951
2510588,13176
406182,10032 47226
3359540,16797
172394,47766
383770,7681
1344043,8736 11945
2172762,25466
1635368,13176
624714,2639 27945 44536
3070543,2014 11440 13176 32717 38274 47616 48720
1378259,9623
533523,1940 7781 13176 44980 49235
20345,5785 15290 27966 42265
2771992,28199 33894
3118092,17794 21137 26940 39275
1242668,18071 24852
352630,1203 27521 32566
2072510,5450
1237738,15424
2239739,27845
1970457,4210 8087 21267 22035
2525507,47209
2786948,6383 21614 40706 45007
2491706,4210 16696 24852 40939
2572782,4210 47626
23500,44632
527075,24852 27730 44562
2933690,41950
1205372,21267 38689
2634958,21903 24852 39877 40656
3381268,26032 40380
1601439,15153 24964 28601
3419249,13176 39589
1440533,13032 26317
2128112,13966 43252
2061262,28204 32747
1860851,24852 39877
1294240,196 13176 32478
539759,12481
825152,1940 24852 27239 45066
1217860,28427
39872,7688
797320,42768
644486,1194
1660241,21288 28008
2719212,49075
2897298,13176
737811,35168
1242569,13176
708051,24964
115809,23106 38241 42450
1003428,19660
2134549,34483
173060,19057 21137 24518 24852 30391 35221
1417318,10768 17027
1747737,29447 31618
1094757,5083
556998,13176 43772
1654614,4451 10749 24852
348608,23909 29487 34487
472089,5450 24852
1477795,39877 47209 49683
1257586,38689 47209
1964277,13176 38689
3354422,19660
3299383,38293 42265
1917547,12341
18113,40332 47766
422051,47209
825986,16797
1334507,4605 12481 26924 27104 31683
2857490,21903
307143,27730 43122
2252628,24184
2298851,26209 46676 48559
1138234,9810 38849 48246
235789,5258
3261182,22935
544889,24852 35221
2999536,13176 17207 33768
412133,24852 35504
1898121,26088 32455 45004
1703133,46720
3221782,32605
3377720,27966
1301634,13176 21903 27845 32864
526421,22089
1122524,196
1448063,36550 45066
1304479,30450 32665
2222025,9124
1952709,8859 9068
2477100,21137 47209
3246106,16797 22935 24184 47766
1887165,18253
1969261,26914 38689
3212682,21903 24852 43772 47626
263089,24852 41950
3358926,20015 21616 47626
2785463,37710
2481125,33198
1505169,13646 21614 39180
2214673,17794 24561 42495 45954
3111365,16398 19660 24830 35503 35921 37067 40706
489189,2051 4920 47616
792330,13176
1711925,27730 39928
1284059,45603
1841472,23115
1563765,26209 47766
3309393,19057
288658,32156 33452
211267,19057 24852 30192 44632 47766 48679
3052173,43352
2581727,5876 21903 30391
1556549,13176
987145,17027 25138 47209
1844839,30776
2700123,17131 19322 21137 27845 36036 41842 45570
848283,24024
519140,24852
635541,9405 27086
2863172,13716 20156 24852 43693
1676258,18465
656396,39040
2726684,10172 21009 24852
3123103,4562 24852 40571
8363,32828
2514756,5077 24852
395026,35221 47209
827625,4790 21137 27845 48835
1949086,14233
1823382,24852
